Income_source,Savings_habits,Borrowing_status,Financial_education,Age,Gender,Marital_status,Educational_level,Geographic_location,NIDA_number,Smartphone_ownership,has_bank_account
farmers and fishers,yes,no,False,57,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,76,female,marriedliving together,no formal education,rural,no,no,one account
dependents,yes,no,False,18,female,singlenever married,some secondary,rural,no,no,one account
dependents,no,no,False,17,female,singlenever married,secondary competedo level,rural,no,no,one account
traders  nonagricultural,no,no,False,25,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,30,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,16,female,singlenever married,some secondary,rural,no,no,one account
dependents,no,no,False,19,female,singlenever married,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,47,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,80,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,22,male,marriedliving together,some primary,rural,no,no,one account
dependents,no,no,False,46,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,18,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,34,female,marriedliving together,no formal education,rural,no,no,one account
rental income,no,no,False,83,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,30,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,yes,False,24,male,singlenever married,some primary,rural,yes,no,one account
farmers and fishers,yes,yes,False,70,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,True,61,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,38,female,marriedliving together,primary completed,rural,no,yes,one account
piece workcasual labor,no,yes,True,30,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,32,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,44,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,25,male,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,33,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,yes,False,29,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,58,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,35,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,61,male,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,16,male,singlenever married,some secondary,rural,no,no,one account
dependents,no,no,False,79,female,widowed,no formal education,rural,no,no,one account
dependents,no,yes,False,49,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,38,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,100,female,widowed,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,33,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,19,male,singlenever married,some secondary,rural,no,no,one account
farmers and fishers,no,yes,False,24,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,50,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,38,male,marriedliving together,some primary,rural,yes,no,one account
farmers and fishers,no,no,False,18,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,24,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,22,female,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,yes,False,31,female,marriedliving together,some primary,zanzibar,no,no,one account
dependents,yes,no,False,16,male,singlenever married,some university or other higher education,zanzibar,no,no,one account
dependents,no,no,False,87,female,widowed,no formal education,zanzibar,no,no,one account
dependents,no,no,False,16,male,singlenever married,primary completed,zanzibar,no,no,one account
dependents,yes,no,True,38,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,39,male,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,no,yes,True,34,male,singlenever married,some primary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,27,male,marriedliving together,some primary,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,17,male,singlenever married,some secondary,zanzibar,no,no,one account
farmers and fishers,yes,no,False,53,male,divorcedseparated,secondary competedo level,zanzibar,no,no,one account
farmers and fishers,yes,no,False,18,male,singlenever married,some primary,zanzibar,no,yes,one account
dependents,no,yes,False,16,male,singlenever married,some secondary,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,17,male,singlenever married,primary completed,zanzibar,no,yes,one account
dependents,yes,no,False,16,male,singlenever married,some secondary,zanzibar,no,no,one account
dependents,no,no,False,34,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,no,no,False,73,female,divorcedseparated,some primary,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,52,male,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,16,female,singlenever married,some secondary,zanzibar,no,no,one account
dependents,yes,no,False,52,female,marriedliving together,no formal education,zanzibar,yes,no,one account
dependents,no,no,False,16,male,singlenever married,some secondary,zanzibar,no,no,one account
dependents,no,no,False,58,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,23,female,singlenever married,primary completed,zanzibar,no,yes,one account
piece workcasual labor,no,yes,True,31,female,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,no,no,False,64,male,marriedliving together,no formal education,zanzibar,no,no,one account
farmers and fishers,no,yes,False,41,female,marriedliving together,primary completed,zanzibar,no,no,one account
farmers and fishers,yes,yes,True,56,male,marriedliving together,primary completed,zanzibar,no,no,one account
farmers and fishers,no,no,False,34,male,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,yes,yes,True,18,female,singlenever married,some secondary,zanzibar,no,no,one account
farmers and fishers,no,yes,False,53,male,marriedliving together,primary completed,zanzibar,no,no,one account
farmers and fishers,no,no,False,17,male,singlenever married,no formal education,zanzibar,no,no,one account
dependents,yes,yes,False,42,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,82,female,widowed,no formal education,zanzibar,no,no,one account
dependents,no,no,False,53,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,31,female,divorcedseparated,some secondary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,20,female,singlenever married,secondary competedo level,zanzibar,no,yes,one account
dependents,no,no,False,16,female,singlenever married,some primary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,16,male,singlenever married,some primary,zanzibar,no,no,one account
traders  agricultural products,yes,yes,False,29,female,marriedliving together,primary completed,zanzibar,no,no,one account
farmers and fishers,no,no,False,18,male,singlenever married,some primary,zanzibar,no,no,one account
informal sector salaried,yes,yes,False,34,female,singlenever married,secondary competedo level,zanzibar,no,yes,one account
dependents,no,no,True,16,female,singlenever married,some primary,zanzibar,no,no,one account
dependents,yes,no,False,28,female,marriedliving together,some primary,zanzibar,no,no,one account
traders  nonagricultural,yes,no,False,60,female,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,yes,yes,False,17,male,singlenever married,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,42,female,marriedliving together,some primary,zanzibar,no,no,one account
farmers and fishers,yes,no,False,56,male,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,yes,yes,False,21,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,42,female,marriedliving together,some primary,zanzibar,no,yes,one account
farmers and fishers,yes,yes,False,45,female,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,46,female,divorcedseparated,some primary,zanzibar,no,no,one account
gambling,no,no,False,62,female,divorcedseparated,no formal education,zanzibar,no,no,one account
farmers and fishers,no,yes,False,26,female,marriedliving together,some primary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,27,female,marriedliving together,some secondary,zanzibar,no,no,one account
service providers,yes,no,False,32,female,marriedliving together,primary completed,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,30,female,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,no,yes,False,61,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,33,female,marriedliving together,primary completed,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,18,male,singlenever married,some primary,zanzibar,no,yes,one account
traders  nonagricultural,no,no,False,20,female,marriedliving together,some primary,zanzibar,no,no,one account
dependents,no,yes,False,62,male,marriedliving together,no formal education,zanzibar,no,no,one account
traders  nonagricultural,yes,yes,False,70,female,divorcedseparated,no formal education,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,16,female,singlenever married,some secondary,zanzibar,no,no,one account
farmers and fishers,yes,yes,False,25,male,singlenever married,some secondary,zanzibar,yes,yes,one account
dependents,no,no,False,18,female,singlenever married,some secondary,zanzibar,no,no,one account
dependents,no,yes,False,53,female,divorcedseparated,no formal education,zanzibar,no,no,one account
farmers and fishers,yes,no,False,21,male,marriedliving together,primary completed,zanzibar,yes,no,one account
piece workcasual labor,yes,no,False,28,female,marriedliving together,primary completed,zanzibar,no,no,one account
pension,no,no,False,80,male,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,yes,no,False,42,female,marriedliving together,some primary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,27,female,marriedliving together,some secondary,zanzibar,no,yes,one account
dependents,no,no,False,16,male,singlenever married,some secondary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,52,female,divorcedseparated,no formal education,zanzibar,no,no,one account
dependents,no,no,False,85,female,widowed,no formal education,zanzibar,no,no,one account
dependents,yes,no,False,24,female,marriedliving together,some primary,zanzibar,no,no,one account
farmers and fishers,yes,no,True,34,male,marriedliving together,primary completed,zanzibar,no,yes,one account
farmers and fishers,yes,no,False,37,male,marriedliving together,primary completed,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,35,male,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,no,False,44,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,17,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,46,female,marriedliving together,some primary,zanzibar,no,yes,one account
traders  nonagricultural,yes,yes,False,45,male,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,no,no,False,60,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,yes,yes,False,64,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,yes,yes,False,32,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,29,female,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,61,male,marriedliving together,some secondary,zanzibar,no,no,one account
farmers and fishers,no,yes,False,29,female,widowed,primary completed,zanzibar,no,yes,one account
piece workcasual labor,yes,no,False,43,female,widowed,no formal education,zanzibar,no,no,one account
traders  agricultural products,yes,yes,False,38,male,marriedliving together,some secondary,zanzibar,yes,yes,one account
farmers and fishers,yes,yes,False,65,male,marriedliving together,secondary competedo level,zanzibar,no,no,one account
farmers and fishers,no,yes,False,48,male,marriedliving together,some primary,zanzibar,no,no,one account
traders  nonagricultural,yes,yes,False,35,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,no,no,False,80,female,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,no,False,18,male,singlenever married,no formal education,zanzibar,no,no,one account
dependents,yes,no,False,28,female,marriedliving together,some primary,zanzibar,no,no,one account
dependents,yes,no,False,25,female,marriedliving together,some primary,zanzibar,no,no,one account
traders  nonagricultural,yes,yes,False,78,female,divorcedseparated,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,no,True,34,female,marriedliving together,university or higher education completed,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,38,female,marriedliving together,no formal education,zanzibar,no,no,one account
farmers and fishers,no,no,False,38,male,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,yes,no,False,53,female,widowed,no formal education,zanzibar,no,no,one account
welfare,no,no,False,62,female,widowed,some primary,zanzibar,no,no,one account
dependents,no,no,False,44,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,36,female,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,27,male,marriedliving together,secondary competedo level,zanzibar,no,yes,one account
dependents,no,no,False,47,female,marriedliving together,no formal education,zanzibar,no,no,one account
informal sector salaried,yes,yes,False,55,male,singlenever married,primary completed,zanzibar,no,no,one account
traders  agricultural products,yes,yes,False,32,male,singlenever married,secondary competedo level,zanzibar,no,no,one account
farmers and fishers,yes,yes,False,59,male,marriedliving together,some primary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,45,female,widowed,some primary,zanzibar,no,no,one account
dependents,yes,no,False,89,male,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,67,female,divorcedseparated,no formal education,zanzibar,no,no,one account
farmers and fishers,yes,no,False,32,male,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,yes,no,False,78,male,widowed,no formal education,zanzibar,no,no,one account
dependents,yes,yes,True,67,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,17,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
dependents,no,no,False,17,female,singlenever married,some secondary,zanzibar,no,no,one account
farmers and fishers,yes,no,False,35,male,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,yes,yes,False,24,female,marriedliving together,some primary,zanzibar,no,no,one account
dependents,no,yes,False,44,female,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,36,male,marriedliving together,some primary,zanzibar,no,no,one account
dependents,no,no,False,54,male,marriedliving together,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,19,male,singlenever married,some secondary,zanzibar,no,yes,one account
welfare,yes,yes,True,39,female,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,no,no,False,16,male,singlenever married,some secondary,zanzibar,no,no,one account
service providers,no,no,False,26,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,yes,yes,True,40,female,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,no,no,False,30,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,yes,yes,False,21,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,no,no,False,66,male,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,no,yes,False,24,female,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,yes,no,False,18,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
dependents,yes,yes,True,33,female,marriedliving together,some secondary,zanzibar,no,no,one account
traders  nonagricultural,no,no,False,50,female,widowed,no formal education,zanzibar,no,no,one account
welfare,yes,no,False,38,female,marriedliving together,primary completed,zanzibar,no,no,one account
farmers and fishers,no,yes,False,37,female,divorcedseparated,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,23,male,singlenever married,some secondary,zanzibar,yes,no,one account
informal sector salaried,yes,no,False,49,male,marriedliving together,some primary,zanzibar,no,no,one account
dependents,no,no,False,68,female,marriedliving together,no formal education,zanzibar,no,no,one account
service providers,yes,no,False,20,female,singlenever married,primary completed,zanzibar,no,no,one account
farmers and fishers,no,no,False,16,male,singlenever married,some primary,zanzibar,no,no,one account
dependents,no,no,False,19,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
dependents,no,no,False,17,female,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,no,no,True,18,female,singlenever married,some secondary,zanzibar,no,no,one account
service providers,yes,yes,False,63,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,22,female,singlenever married,some primary,zanzibar,no,no,one account
welfare,yes,no,False,72,female,widowed,no formal education,zanzibar,no,no,one account
farmers and fishers,no,yes,False,45,male,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,yes,no,False,34,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,27,male,marriedliving together,primary completed,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,30,female,marriedliving together,primary completed,zanzibar,no,yes,one account
piece workcasual labor,yes,yes,False,54,female,marriedliving together,some secondary,zanzibar,no,no,one account
formal sector salaried,yes,no,False,33,male,marriedliving together,university or higher education completed,zanzibar,no,yes,one account
dependents,yes,no,False,16,female,singlenever married,some secondary,zanzibar,no,no,one account
welfare,yes,yes,False,31,female,marriedliving together,primary completed,zanzibar,no,no,one account
farmers and fishers,no,no,False,25,female,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,yes,no,False,37,female,divorcedseparated,some secondary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,45,male,marriedliving together,no formal education,zanzibar,no,no,one account
farmers and fishers,yes,yes,True,36,male,marriedliving together,some primary,zanzibar,no,no,one account
dependents,yes,no,False,24,female,marriedliving together,primary completed,zanzibar,no,no,one account
welfare,no,no,True,64,female,widowed,no formal education,zanzibar,no,no,one account
farmers and fishers,yes,yes,True,66,male,marriedliving together,primary completed,zanzibar,no,no,one account
farmers and fishers,no,yes,False,52,male,marriedliving together,no formal education,zanzibar,no,no,one account
farmers and fishers,yes,yes,False,62,female,widowed,some secondary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,49,female,marriedliving together,some primary,zanzibar,no,no,one account
traders  agricultural products,no,yes,False,50,male,marriedliving together,some primary,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,36,male,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,True,17,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,no,no,False,17,male,singlenever married,some primary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,62,male,marriedliving together,some secondary,zanzibar,no,no,one account
service providers,no,yes,False,26,female,marriedliving together,primary completed,zanzibar,no,no,one account
traders  nonagricultural,yes,no,False,34,male,marriedliving together,no formal education,zanzibar,no,no,one account
farmers and fishers,no,yes,False,59,male,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,no,no,True,17,female,singlenever married,some secondary,zanzibar,no,no,one account
dependents,yes,no,False,59,female,marriedliving together,no formal education,zanzibar,no,no,one account
traders  nonagricultural,yes,yes,False,61,male,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,no,False,53,male,marriedliving together,some primary,zanzibar,no,no,one account
farmers and fishers,yes,no,False,27,male,marriedliving together,some primary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,52,male,marriedliving together,secondary competedo level,zanzibar,no,yes,one account
welfare,no,yes,False,33,female,marriedliving together,secondary competedo level,zanzibar,yes,no,one account
farmers and fishers,no,yes,False,28,male,marriedliving together,some secondary,zanzibar,no,yes,one account
traders  nonagricultural,no,no,False,40,male,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,yes,no,False,73,female,marriedliving together,no formal education,zanzibar,no,no,one account
farmers and fishers,yes,no,False,53,male,marriedliving together,primary completed,zanzibar,no,yes,one account
dependents,yes,no,False,60,female,marriedliving together,some secondary,zanzibar,no,no,one account
traders  nonagricultural,no,yes,False,16,male,singlenever married,some secondary,zanzibar,no,no,one account
dependents,no,no,False,48,female,marriedliving together,some secondary,zanzibar,no,no,one account
farmers and fishers,yes,no,False,21,male,singlenever married,primary completed,zanzibar,no,no,one account
dependents,yes,yes,False,64,female,widowed,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,32,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,yes,no,False,55,female,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,no,no,False,17,male,singlenever married,some primary,zanzibar,no,yes,one account
dependents,no,no,False,27,female,marriedliving together,primary completed,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,39,female,marriedliving together,some secondary,zanzibar,no,no,one account
traders  agricultural products,no,yes,True,31,female,marriedliving together,no formal education,zanzibar,no,no,one account
welfare,no,yes,False,79,female,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,48,female,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,27,female,widowed,primary completed,zanzibar,no,no,one account
dependents,no,yes,False,16,male,singlenever married,some secondary,zanzibar,no,no,one account
farmers and fishers,no,no,False,30,male,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,no,no,False,78,male,marriedliving together,no formal education,zanzibar,no,no,one account
informal sector salaried,yes,no,False,20,male,singlenever married,some primary,zanzibar,no,no,one account
dependents,no,no,False,17,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
service providers,yes,no,False,42,male,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,no,False,27,female,marriedliving together,some primary,zanzibar,no,no,one account
other,yes,no,False,26,female,divorcedseparated,no formal education,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,20,male,singlenever married,some university or other higher education,zanzibar,no,no,one account
traders  nonagricultural,yes,no,False,27,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,no,no,False,58,female,marriedliving together,no formal education,zanzibar,no,no,one account
farmers and fishers,no,yes,False,38,female,divorcedseparated,primary completed,zanzibar,no,yes,one account
dependents,no,no,False,62,female,divorcedseparated,no formal education,zanzibar,no,no,one account
formal sector salaried,yes,yes,False,29,male,marriedliving together,primary completed,zanzibar,no,yes,two or three accounts
dependents,no,no,False,42,female,marriedliving together,some primary,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,63,female,widowed,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,37,female,marriedliving together,some secondary,zanzibar,no,no,one account
service providers,yes,no,False,24,female,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,no,no,False,58,female,marriedliving together,no formal education,zanzibar,no,no,one account
welfare,no,yes,False,28,female,marriedliving together,some primary,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,61,male,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,no,False,16,female,singlenever married,no formal education,zanzibar,no,no,one account
dependents,no,yes,False,31,female,marriedliving together,some primary,zanzibar,no,no,one account
dependents,yes,yes,False,17,male,singlenever married,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,33,male,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,no,yes,False,34,female,marriedliving together,some secondary,zanzibar,no,no,one account
farmers and fishers,no,yes,False,48,male,marriedliving together,some primary,zanzibar,no,no,one account
dependents,yes,no,True,60,female,marriedliving together,no formal education,dar es salaam,no,yes,two or three accounts
informal sector salaried,yes,yes,False,44,female,marriedliving together,some primary,dar es salaam,no,no,one account
informal sector salaried,no,no,False,34,female,singlenever married,some primary,dar es salaam,no,no,one account
dependents,no,no,False,18,female,singlenever married,secondary competedo level,dar es salaam,no,no,one account
dependents,no,no,False,85,female,widowed,no formal education,dar es salaam,no,no,one account
rental income,no,no,False,84,female,widowed,some primary,dar es salaam,no,no,one account
dependents,no,no,False,53,female,marriedliving together,primary completed,dar es salaam,no,no,one account
dependents,no,no,False,17,male,singlenever married,secondary competedo level,dar es salaam,no,no,one account
piece workcasual labor,no,no,False,54,male,divorcedseparated,primary completed,dar es salaam,yes,no,one account
formal sector salaried,yes,no,False,23,male,singlenever married,secondary competedo level,dar es salaam,no,no,one account
dependents,no,no,False,63,female,widowed,primary completed,dar es salaam,no,no,one account
dependents,yes,no,True,67,female,marriedliving together,some primary,dar es salaam,yes,no,one account
service providers,no,no,False,32,female,marriedliving together,some primary,dar es salaam,no,no,one account
traders  nonagricultural,yes,no,False,26,male,marriedliving together,primary completed,dar es salaam,no,yes,one account
dependents,yes,no,False,33,female,marriedliving together,primary completed,dar es salaam,no,no,one account
dependents,no,no,False,16,female,singlenever married,some secondary,dar es salaam,no,no,one account
dependents,no,no,False,18,male,singlenever married,some secondary,dar es salaam,no,no,one account
formal sector salaried,yes,no,True,22,female,marriedliving together,secondary competedo level,dar es salaam,no,no,one account
piece workcasual labor,yes,no,True,37,male,marriedliving together,primary completed,dar es salaam,no,no,one account
piece workcasual labor,no,no,False,56,male,divorcedseparated,some primary,dar es salaam,no,no,one account
dependents,no,no,False,18,male,singlenever married,some secondary,dar es salaam,no,no,one account
piece workcasual labor,yes,yes,False,37,female,widowed,no formal education,dar es salaam,no,no,one account
dependents,yes,no,True,19,female,singlenever married,secondary competedo level,dar es salaam,no,yes,one account
dependents,yes,no,False,89,female,widowed,some primary,dar es salaam,no,no,one account
dependents,no,no,True,48,female,widowed,primary completed,dar es salaam,yes,no,one account
traders  nonagricultural,no,no,True,62,male,marriedliving together,primary completed,dar es salaam,no,no,one account
informal sector salaried,no,no,False,35,female,singlenever married,primary completed,dar es salaam,no,no,one account
piece workcasual labor,no,yes,False,19,male,singlenever married,secondary competedo level,dar es salaam,no,yes,one account
informal sector salaried,no,no,False,22,male,marriedliving together,secondary competedo level,dar es salaam,no,no,one account
dependents,no,no,False,17,female,singlenever married,some secondary,dar es salaam,no,no,one account
dependents,no,no,False,40,female,marriedliving together,primary completed,dar es salaam,no,no,one account
informal sector salaried,no,no,False,18,female,singlenever married,secondary competedo level,dar es salaam,no,yes,one account
dependents,no,no,False,23,female,marriedliving together,primary completed,dar es salaam,no,no,one account
dependents,yes,no,False,43,female,marriedliving together,primary completed,dar es salaam,no,no,one account
dependents,no,no,False,17,female,singlenever married,some secondary,dar es salaam,no,no,one account
informal sector salaried,no,no,False,23,female,marriedliving together,primary completed,dar es salaam,no,no,one account
piece workcasual labor,no,no,False,34,female,singlenever married,primary completed,dar es salaam,no,no,one account
formal sector salaried,no,no,False,55,male,singlenever married,primary completed,dar es salaam,no,no,one account
dependents,no,no,False,16,male,singlenever married,some primary,dar es salaam,no,no,one account
dependents,no,no,False,58,female,marriedliving together,primary completed,dar es salaam,no,no,one account
piece workcasual labor,yes,no,False,29,male,marriedliving together,primary completed,dar es salaam,no,no,one account
piece workcasual labor,no,no,True,40,female,singlenever married,primary completed,dar es salaam,no,no,one account
dependents,yes,no,True,23,female,singlenever married,some university or other higher education,dar es salaam,no,yes,one account
traders  nonagricultural,no,yes,False,38,female,marriedliving together,secondary competedo level,dar es salaam,no,no,one account
formal sector salaried,yes,no,True,22,female,singlenever married,secondary competedo level,dar es salaam,no,yes,one account
dependents,no,no,False,19,male,singlenever married,secondary competedo level,dar es salaam,no,no,one account
piece workcasual labor,yes,no,False,24,female,marriedliving together,primary completed,dar es salaam,no,no,one account
dependents,no,no,False,18,female,singlenever married,some secondary,dar es salaam,no,no,one account
dependents,yes,no,False,27,female,marriedliving together,secondary competedo level,dar es salaam,no,yes,one account
dependents,no,no,False,20,female,singlenever married,secondary competedo level,dar es salaam,no,no,one account
dependents,no,no,False,38,female,marriedliving together,no formal education,dar es salaam,yes,no,one account
piece workcasual labor,no,no,False,75,male,marriedliving together,primary completed,dar es salaam,yes,no,one account
formal sector salaried,no,no,True,24,male,singlenever married,some primary,dar es salaam,no,no,one account
piece workcasual labor,no,no,False,39,female,marriedliving together,primary completed,dar es salaam,no,no,one account
dependents,no,no,False,17,female,singlenever married,secondary competedo level,dar es salaam,no,no,one account
piece workcasual labor,no,yes,False,43,male,divorcedseparated,some primary,dar es salaam,yes,yes,one account
formal sector salaried,no,no,False,38,male,singlenever married,primary completed,dar es salaam,no,no,one account
dependents,yes,no,False,28,female,marriedliving together,primary completed,dar es salaam,no,no,one account
dependents,yes,no,False,18,female,singlenever married,secondary competedo level,other urban,no,no,one account
dependents,no,yes,True,16,female,singlenever married,some secondary,other urban,no,no,one account
dependents,no,no,False,77,female,marriedliving together,no formal education,other urban,no,no,one account
dependents,no,no,False,16,male,singlenever married,some secondary,other urban,no,no,one account
dependents,no,no,False,18,female,singlenever married,secondary competedo level,other urban,no,no,one account
dependents,no,no,False,74,male,widowed,no formal education,other urban,no,no,one account
other,yes,yes,False,59,female,widowed,some primary,other urban,no,no,one account
